numero_venda;data;produto;quantidade;valor_total
10043;2026-05-22;Carvao 5kg;3;93.06
10044;2026-05-17;Carvao 5kg;1;30.13
10044;2026-05-17;Detergente;2;5.64
10045;2026-05-11;Leite 1L;2;9.86
10046;2026-05-23;Carvao 5kg;4;94.48
10046;2026-05-23;Carne Bovina kg;4;173.52
10046;2026-05-23;Acucar 5kg;2;52.66
10046;2026-05-23;Refrigerante 2L;4;53.32
10047;2026-05-19;Macarrao 500g;4;12.12
10048;2026-05-12;Carvao 5kg;5;158.0
10048;2026-05-12;Cerveja Lata;2;9.92
10048;2026-05-12;Sabao em Po;3;42.3
10048;2026-05-12;Frango kg;1;14.67
10048;2026-05-12;Oleo 900ml;6;58.5
10048;2026-05-12;Agua Mineral 1,5L;4;16.68
10049;2026-05-27;Agua Mineral 1,5L;4;15.12
10049;2026-05-27;Arroz 5kg;6;134.1
10050;2026-05-21;Pao de Forma;3;21.81
10050;2026-05-21;Feijao 1kg;3;24.09
10050;2026-05-21;Carvao 5kg;4;90.92
10050;2026-05-21;Refrigerante 2L;4;35.08
10051;2026-05-03;Feijao 1kg;6;37.44
10051;2026-05-03;Linguica kg;1;27.19
10051;2026-05-03;Cerveja Lata;2;12.04
10051;2026-05-03;Frango kg;5;59.15
10051;2026-05-03;Agua Mineral 1,5L;2;6.84
10052;2026-05-04;Detergente;3;7.5
10052;2026-05-04;Carvao 5kg;5;171.9
10053;2026-05-23;Carvao 5kg;5;92.2
10053;2026-05-23;Carne Bovina kg;3;147.9
10053;2026-05-23;Linguica kg;4;73.4
10053;2026-05-23;Feijao 1kg;6;43.14
10054;2026-05-19;Cafe 500g;6;118.86
10054;2026-05-19;Carne Bovina kg;1;57.46
10055;2026-05-19;Agua Mineral 1,5L;1;3.52
10055;2026-05-19;Oleo 900ml;3;15.27
10055;2026-05-19;Linguica kg;4;100.64
10056;2026-05-04;Detergente;2;8.4
10056;2026-05-04;Leite 1L;6;30.48
10056;2026-05-04;Oleo 900ml;5;52.1
10057;2026-05-15;Carvao 5kg;3;98.97
10057;2026-05-15;Frango kg;2;38.02
10057;2026-05-15;Cerveja Lata;5;26.65
10057;2026-05-15;Oleo 900ml;4;29.4
10057;2026-05-15;Feijao 1kg;4;44.44
10058;2026-05-06;Carvao 5kg;5;149.6
10058;2026-05-06;Frango kg;3;50.01
10058;2026-05-06;Agua Mineral 1,5L;5;24.2
10059;2026-05-03;Carvao 5kg;6;156.54
10059;2026-05-03;Cerveja Lata;6;29.82
10059;2026-05-03;Agua Mineral 1,5L;1;2.28
10059;2026-05-03;Frango kg;2;29.7
10059;2026-05-03;Detergente;2;5.84
10059;2026-05-03;Cafe 500g;5;84.0
10060;2026-05-18;Agua Mineral 1,5L;4;11.24
10060;2026-05-18;Frango kg;3;38.31
10060;2026-05-18;Linguica kg;6;90.48
10060;2026-05-18;Sabao em Po;1;18.4
10061;2026-05-31;Refrigerante 2L;6;62.34
10061;2026-05-31;Agua Mineral 1,5L;6;22.62
10062;2026-05-25;Cafe 500g;2;33.38
10062;2026-05-25;Refrigerante 2L;3;21.3
10062;2026-05-25;Carne Bovina kg;5;163.4
10063;2026-05-02;Carne Bovina kg;1;49.24
10063;2026-05-02;Leite 1L;4;23.64
10063;2026-05-02;Sabao em Po;3;31.74
10063;2026-05-02;Feijao 1kg;1;7.51
10063;2026-05-02;Oleo 900ml;4;23.2
10064;2026-05-03;Feijao 1kg;2;13.8
10065;2026-05-19;Cerveja Lata;1;5.17
10066;2026-05-14;Cerveja Lata;3;18.24
10066;2026-05-14;Papel Higienico;4;46.64
10066;2026-05-14;Macarrao 500g;5;16.5
10066;2026-05-14;Agua Mineral 1,5L;6;13.8
10066;2026-05-14;Detergente;2;7.76
10067;2026-05-09;Cerveja Lata;5;18.65
10067;2026-05-09;Pao de Forma;1;8.45
10068;2026-05-23;Feijao 1kg;6;46.2
10068;2026-05-23;Cerveja Lata;4;14.84
10068;2026-05-23;Carne Bovina kg;2;124.36
10069;2026-05-26;Refrigerante 2L;6;48.24
10069;2026-05-26;Oleo 900ml;3;32.37
10069;2026-05-26;Cafe 500g;1;12.78
10069;2026-05-26;Carvao 5kg;3;84.36
10069;2026-05-26;Sabao em Po;5;104.5
10070;2026-05-15;Carvao 5kg;5;131.95
10070;2026-05-15;Carne Bovina kg;1;50.13
10070;2026-05-15;Detergente;4;16.8
10070;2026-05-15;Leite 1L;5;25.0
10070;2026-05-15;Frango kg;1;12.75
10071;2026-05-22;Arroz 5kg;2;56.24
10071;2026-05-22;Carvao 5kg;6;153.12
10071;2026-05-22;Feijao 1kg;3;21.27
10071;2026-05-22;Macarrao 500g;5;25.9
10071;2026-05-22;Detergente;4;19.64
10072;2026-05-16;Frango kg;3;44.82
10072;2026-05-16;Cafe 500g;4;63.0
10072;2026-05-16;Pao de Forma;4;43.52
10073;2026-05-18;Carvao 5kg;3;70.5
10073;2026-05-18;Carne Bovina kg;4;240.0
10073;2026-05-18;Macarrao 500g;1;6.29
10074;2026-05-18;Refrigerante 2L;5;47.65
10075;2026-05-25;Feijao 1kg;2;23.14
10075;2026-05-25;Refrigerante 2L;4;52.68
10075;2026-05-25;Carvao 5kg;4;80.24
10075;2026-05-25;Sabao em Po;6;99.12
10076;2026-05-08;Agua Mineral 1,5L;1;2.67
10076;2026-05-08;Arroz 5kg;1;28.0
10076;2026-05-08;Oleo 900ml;1;9.53
10077;2026-05-05;Papel Higienico;4;79.04
10077;2026-05-05;Carvao 5kg;2;51.54
10077;2026-05-05;Oleo 900ml;2;15.38
10078;2026-05-30;Acucar 5kg;4;85.6
10078;2026-05-30;Carvao 5kg;5;112.7
10079;2026-05-01;Carvao 5kg;4;108.64
10079;2026-05-01;Cerveja Lata;3;13.5
10079;2026-05-01;Agua Mineral 1,5L;5;15.65
10079;2026-05-01;Sabao em Po;3;60.51
10079;2026-05-01;Acucar 5kg;6;122.34
10080;2026-05-13;Carvao 5kg;6;201.18
10080;2026-05-13;Cerveja Lata;4;18.64
10080;2026-05-13;Feijao 1kg;6;64.5
10080;2026-05-13;Pao de Forma;6;71.28
10080;2026-05-13;Oleo 900ml;4;47.0
10080;2026-05-13;Carne Bovina kg;2;93.16
10081;2026-05-19;Detergente;1;3.58
10082;2026-05-15;Carvao 5kg;6;206.94
10082;2026-05-15;Carne Bovina kg;1;45.37
10082;2026-05-15;Sabao em Po;3;38.22
10082;2026-05-15;Agua Mineral 1,5L;6;19.14
10083;2026-05-03;Macarrao 500g;1;6.09
10083;2026-05-03;Frango kg;2;35.14
10083;2026-05-03;Sabao em Po;3;65.88
10083;2026-05-03;Oleo 900ml;6;33.78
10083;2026-05-03;Carvao 5kg;1;30.93
10084;2026-05-23;Pao de Forma;3;32.34
10084;2026-05-23;Carne Bovina kg;3;123.78
10084;2026-05-23;Arroz 5kg;4;95.56
10084;2026-05-23;Sabao em Po;5;68.85
10085;2026-05-22;Pao de Forma;5;56.15
10085;2026-05-22;Acucar 5kg;5;124.15
10086;2026-05-16;Cerveja Lata;6;25.56
10086;2026-05-16;Detergente;3;12.0
10087;2026-05-29;Agua Mineral 1,5L;4;19.36
10087;2026-05-29;Pao de Forma;5;38.95
10087;2026-05-29;Acucar 5kg;4;99.6
10088;2026-05-15;Macarrao 500g;1;4.19
10088;2026-05-15;Sabao em Po;5;65.15
10089;2026-05-10;Arroz 5kg;1;29.36
10089;2026-05-10;Macarrao 500g;6;41.34
10089;2026-05-10;Carvao 5kg;1;33.48
10090;2026-05-24;Cerveja Lata;6;24.42
10090;2026-05-24;Linguica kg;3;68.52
10090;2026-05-24;Agua Mineral 1,5L;6;25.8
10091;2026-05-22;Feijao 1kg;3;32.19
10092;2026-05-02;Acucar 5kg;3;76.41
10092;2026-05-02;Carne Bovina kg;2;70.86
10093;2026-05-26;Papel Higienico;2;22.16
10093;2026-05-26;Agua Mineral 1,5L;4;19.6
10093;2026-05-26;Carvao 5kg;3;92.07
10094;2026-05-11;Acucar 5kg;6;151.44
10094;2026-05-11;Leite 1L;4;31.48
10094;2026-05-11;Cerveja Lata;5;23.0
10094;2026-05-11;Oleo 900ml;4;20.4
10095;2026-05-18;Carvao 5kg;6;203.88
10095;2026-05-18;Carne Bovina kg;1;52.97
10095;2026-05-18;Frango kg;4;41.2
10095;2026-05-18;Linguica kg;5;86.25
10095;2026-05-18;Refrigerante 2L;5;42.75
10096;2026-05-03;Carne Bovina kg;1;63.01
10096;2026-05-03;Oleo 900ml;3;35.91
10096;2026-05-03;Cafe 500g;1;13.26
10096;2026-05-03;Acucar 5kg;5;96.8
10097;2026-05-15;Oleo 900ml;4;37.24
10097;2026-05-15;Leite 1L;3;12.39
10097;2026-05-15;Agua Mineral 1,5L;3;7.95
10097;2026-05-15;Frango kg;4;85.64
10097;2026-05-15;Feijao 1kg;3;19.8
10098;2026-05-22;Feijao 1kg;2;23.62
10098;2026-05-22;Macarrao 500g;4;13.84
10098;2026-05-22;Carvao 5kg;2;57.82
10099;2026-05-20;Frango kg;2;43.74
10100;2026-05-26;Agua Mineral 1,5L;2;7.52
10101;2026-05-27;Leite 1L;2;15.9
10101;2026-05-27;Arroz 5kg;5;126.3
10101;2026-05-27;Carvao 5kg;2;39.74
10102;2026-05-28;Carvao 5kg;2;56.02
10102;2026-05-28;Carne Bovina kg;1;34.45
10102;2026-05-28;Oleo 900ml;1;5.89
10103;2026-05-14;Sabao em Po;4;75.56
10104;2026-05-17;Papel Higienico;6;85.56
10104;2026-05-17;Cerveja Lata;4;21.72
10104;2026-05-17;Feijao 1kg;1;6.36
10104;2026-05-17;Linguica kg;4;102.24
10105;2026-05-14;Detergente;5;12.25
10105;2026-05-14;Acucar 5kg;2;41.5
10105;2026-05-14;Papel Higienico;6;90.12
10105;2026-05-14;Pao de Forma;6;47.7
10106;2026-05-20;Papel Higienico;6;56.22
10106;2026-05-20;Oleo 900ml;6;57.36
10106;2026-05-20;Cafe 500g;5;106.85
10106;2026-05-20;Macarrao 500g;2;10.3
10107;2026-05-29;Carvao 5kg;6;117.72
10107;2026-05-29;Cerveja Lata;4;17.76
10107;2026-05-29;Papel Higienico;3;37.47
10107;2026-05-29;Refrigerante 2L;2;23.62
10107;2026-05-29;Agua Mineral 1,5L;4;8.8
10108;2026-05-27;Carvao 5kg;2;54.92
10108;2026-05-27;Carne Bovina kg;5;317.0
10108;2026-05-27;Cafe 500g;5;81.45
10108;2026-05-27;Oleo 900ml;1;7.88
10108;2026-05-27;Papel Higienico;6;115.74
10108;2026-05-27;Pao de Forma;4;44.84
10109;2026-05-24;Carvao 5kg;5;133.15
10109;2026-05-24;Carne Bovina kg;2;104.6
10109;2026-05-24;Linguica kg;2;51.12
10109;2026-05-24;Pao de Forma;3;33.21
10109;2026-05-24;Feijao 1kg;3;20.07
10110;2026-05-09;Agua Mineral 1,5L;2;5.64
10110;2026-05-09;Arroz 5kg;3;101.94
10110;2026-05-09;Carvao 5kg;3;54.3
10110;2026-05-09;Papel Higienico;2;29.6
10111;2026-05-13;Carvao 5kg;6;162.12
10111;2026-05-13;Carne Bovina kg;4;174.12
10111;2026-05-13;Acucar 5kg;3;58.71
10112;2026-05-10;Acucar 5kg;5;92.5
10112;2026-05-10;Feijao 1kg;1;7.63
10112;2026-05-10;Leite 1L;6;34.2
10112;2026-05-10;Agua Mineral 1,5L;5;16.65
10112;2026-05-10;Macarrao 500g;3;12.24
10113;2026-05-17;Carvao 5kg;5;131.35
10113;2026-05-17;Carne Bovina kg;6;236.46
10113;2026-05-17;Cafe 500g;2;34.28
10113;2026-05-17;Leite 1L;5;21.1
10113;2026-05-17;Macarrao 500g;2;9.02
10113;2026-05-17;Sabao em Po;2;37.48
10114;2026-05-25;Carvao 5kg;6;151.92
10114;2026-05-25;Cerveja Lata;2;9.28
10114;2026-05-25;Cafe 500g;6;89.94
10114;2026-05-25;Arroz 5kg;5;164.15
10114;2026-05-25;Carne Bovina kg;3;92.01
10115;2026-05-28;Arroz 5kg;3;88.44
10115;2026-05-28;Detergente;5;16.05
10115;2026-05-28;Acucar 5kg;6;133.08
10115;2026-05-28;Oleo 900ml;1;7.84
10116;2026-05-31;Carvao 5kg;4;129.44
10116;2026-05-31;Cerveja Lata;2;9.62
10116;2026-05-31;Papel Higienico;4;57.16
10116;2026-05-31;Sabao em Po;4;80.76
10116;2026-05-31;Oleo 900ml;6;44.28
10116;2026-05-31;Pao de Forma;3;32.01
10116;2026-05-31;Feijao 1kg;1;9.06
10117;2026-05-04;Linguica kg;6;163.98
10117;2026-05-04;Agua Mineral 1,5L;6;26.7
10118;2026-05-08;Carvao 5kg;2;61.84
10118;2026-05-08;Carne Bovina kg;6;184.74
10118;2026-05-08;Refrigerante 2L;6;62.76
10118;2026-05-08;Acucar 5kg;5;128.0
10118;2026-05-08;Linguica kg;4;91.6
10119;2026-05-29;Frango kg;4;61.24
10119;2026-05-29;Agua Mineral 1,5L;3;13.17
10119;2026-05-29;Leite 1L;5;21.1
10119;2026-05-29;Cerveja Lata;5;18.6
10119;2026-05-29;Feijao 1kg;4;34.84
10120;2026-05-02;Acucar 5kg;4;95.2
10120;2026-05-02;Agua Mineral 1,5L;6;28.14
10120;2026-05-02;Macarrao 500g;4;30.2
10121;2026-05-19;Sabao em Po;1;14.31
10121;2026-05-19;Papel Higienico;3;59.37
10121;2026-05-19;Leite 1L;1;6.02
10122;2026-05-06;Carvao 5kg;2;48.38
10122;2026-05-06;Carne Bovina kg;3;126.99
10122;2026-05-06;Papel Higienico;3;48.45
10122;2026-05-06;Frango kg;1;19.47
10122;2026-05-06;Agua Mineral 1,5L;6;18.0
10122;2026-05-06;Linguica kg;3;40.53
10123;2026-05-22;Leite 1L;5;33.25
10123;2026-05-22;Frango kg;3;41.16
10123;2026-05-22;Acucar 5kg;6;149.88
10124;2026-05-13;Carvao 5kg;5;122.0
10124;2026-05-13;Carne Bovina kg;3;174.27
10124;2026-05-13;Linguica kg;6;139.5
10125;2026-05-31;Acucar 5kg;3;59.4
10125;2026-05-31;Oleo 900ml;2;14.78
10125;2026-05-31;Linguica kg;4;60.28
10125;2026-05-31;Arroz 5kg;2;48.02
10125;2026-05-31;Pao de Forma;3;33.21
10126;2026-05-04;Papel Higienico;5;47.85
10126;2026-05-04;Feijao 1kg;4;27.72
10126;2026-05-04;Frango kg;2;39.96
10126;2026-05-04;Detergente;5;22.15
10126;2026-05-04;Macarrao 500g;2;13.22
10127;2026-05-02;Detergente;6;26.1
10127;2026-05-02;Carne Bovina kg;2;95.52
10128;2026-05-10;Refrigerante 2L;3;37.35
10128;2026-05-10;Linguica kg;5;102.2
10128;2026-05-10;Detergente;2;8.9
10128;2026-05-10;Cerveja Lata;5;19.6
10129;2026-05-09;Carvao 5kg;5;162.35
10129;2026-05-09;Carne Bovina kg;3;93.3
10129;2026-05-09;Oleo 900ml;2;13.82
10129;2026-05-09;Frango kg;5;58.85
10129;2026-05-09;Feijao 1kg;4;26.2
10129;2026-05-09;Agua Mineral 1,5L;2;8.9
10130;2026-05-29;Oleo 900ml;1;7.78
10131;2026-05-12;Carvao 5kg;2;36.96
10131;2026-05-12;Cerveja Lata;1;6.02
10131;2026-05-12;Oleo 900ml;6;44.1
10132;2026-05-05;Carvao 5kg;2;61.8
10132;2026-05-05;Carne Bovina kg;4;178.4
10132;2026-05-05;Agua Mineral 1,5L;1;4.72
10132;2026-05-05;Oleo 900ml;1;6.79
10132;2026-05-05;Sabao em Po;2;31.36
10133;2026-05-24;Cafe 500g;1;12.62
10133;2026-05-24;Carne Bovina kg;4;206.56
10133;2026-05-24;Cerveja Lata;5;24.35
10133;2026-05-24;Leite 1L;1;7.35
10134;2026-05-16;Papel Higienico;5;54.5
10135;2026-05-05;Carvao 5kg;2;55.4
10135;2026-05-05;Cerveja Lata;2;10.98
10135;2026-05-05;Oleo 900ml;1;8.66
10136;2026-05-12;Carvao 5kg;6;147.48
10136;2026-05-12;Carne Bovina kg;3;112.17
10136;2026-05-12;Arroz 5kg;1;26.64
10136;2026-05-12;Refrigerante 2L;1;9.41
10136;2026-05-12;Sabao em Po;6;103.2
10136;2026-05-12;Cerveja Lata;1;5.81
10136;2026-05-12;Agua Mineral 1,5L;6;25.62
10137;2026-05-05;Carvao 5kg;4;138.68
10137;2026-05-05;Carne Bovina kg;4;205.48
10137;2026-05-05;Macarrao 500g;2;6.64
10137;2026-05-05;Sabao em Po;4;34.08
10137;2026-05-05;Agua Mineral 1,5L;2;4.26
10137;2026-05-05;Acucar 5kg;2;53.72
10137;2026-05-05;Papel Higienico;3;57.6
10138;2026-05-17;Sabao em Po;2;24.02
10138;2026-05-17;Carvao 5kg;1;32.72
10138;2026-05-17;Feijao 1kg;3;22.92
10138;2026-05-17;Macarrao 500g;3;15.54
10138;2026-05-17;Frango kg;4;75.68
10139;2026-05-29;Pao de Forma;3;34.65
10139;2026-05-29;Sabao em Po;5;58.65
10139;2026-05-29;Papel Higienico;1;16.72
10140;2026-05-03;Agua Mineral 1,5L;3;6.93
10140;2026-05-03;Carne Bovina kg;3;157.35
10141;2026-05-10;Pao de Forma;1;10.36
10141;2026-05-10;Detergente;3;11.52
10141;2026-05-10;Linguica kg;4;65.56
10141;2026-05-10;Cerveja Lata;1;3.73
10142;2026-05-21;Pao de Forma;6;64.14
10142;2026-05-21;Arroz 5kg;1;23.64
10142;2026-05-21;Leite 1L;2;14.22
10142;2026-05-21;Oleo 900ml;3;22.62
10142;2026-05-21;Carne Bovina kg;5;146.0
10143;2026-05-05;Linguica kg;5;71.0
10143;2026-05-05;Detergente;3;9.57
10143;2026-05-05;Acucar 5kg;6;124.74
10144;2026-05-31;Carvao 5kg;4;134.12
10144;2026-05-31;Carne Bovina kg;1;37.69
10144;2026-05-31;Agua Mineral 1,5L;3;12.33
10144;2026-05-31;Frango kg;2;43.92
10145;2026-05-10;Refrigerante 2L;1;10.16
10145;2026-05-10;Cafe 500g;6;106.74
10145;2026-05-10;Leite 1L;1;7.24
10145;2026-05-10;Oleo 900ml;3;29.01
10146;2026-05-23;Carvao 5kg;6;202.56
10146;2026-05-23;Carne Bovina kg;6;206.64
10146;2026-05-23;Linguica kg;3;60.42
10146;2026-05-23;Papel Higienico;1;19.82
10146;2026-05-23;Leite 1L;2;9.9
10146;2026-05-23;Acucar 5kg;4;73.04
10146;2026-05-23;Oleo 900ml;5;45.05
10147;2026-05-15;Leite 1L;6;41.28
10147;2026-05-15;Acucar 5kg;5;110.55
10147;2026-05-15;Papel Higienico;4;71.52
10147;2026-05-15;Agua Mineral 1,5L;1;2.38
10147;2026-05-15;Refrigerante 2L;3;34.5
10148;2026-05-15;Linguica kg;4;80.2
10148;2026-05-15;Leite 1L;1;7.33
10148;2026-05-15;Pao de Forma;5;34.6
10148;2026-05-15;Macarrao 500g;2;7.62
10148;2026-05-15;Acucar 5kg;6;121.5
10149;2026-05-31;Acucar 5kg;6;165.36
10149;2026-05-31;Carvao 5kg;3;60.39
10149;2026-05-31;Refrigerante 2L;3;33.9
10150;2026-05-03;Leite 1L;6;39.0
10150;2026-05-03;Pao de Forma;5;40.15
10151;2026-05-30;Acucar 5kg;1;27.49
10152;2026-05-25;Oleo 900ml;4;44.88
10152;2026-05-25;Arroz 5kg;5;128.85
10153;2026-05-31;Carvao 5kg;4;76.96
10153;2026-05-31;Cerveja Lata;1;3.97
10153;2026-05-31;Detergente;4;13.8
10153;2026-05-31;Leite 1L;2;10.72
10154;2026-05-05;Carvao 5kg;3;80.25
10154;2026-05-05;Cerveja Lata;1;4.46
10154;2026-05-05;Oleo 900ml;4;23.44
10154;2026-05-05;Refrigerante 2L;4;34.96
10154;2026-05-05;Acucar 5kg;1;18.51
10155;2026-05-31;Oleo 900ml;5;50.25
10155;2026-05-31;Cerveja Lata;2;11.58
10155;2026-05-31;Pao de Forma;4;47.92
10155;2026-05-31;Agua Mineral 1,5L;4;14.0
10155;2026-05-31;Sabao em Po;3;44.88
10156;2026-05-03;Detergente;1;2.15
10156;2026-05-03;Cerveja Lata;4;21.16
10156;2026-05-03;Refrigerante 2L;6;70.26
10156;2026-05-03;Carne Bovina kg;3;143.58
10156;2026-05-03;Pao de Forma;1;8.59
10157;2026-05-29;Carvao 5kg;4;75.48
10157;2026-05-29;Cerveja Lata;5;20.4
10157;2026-05-29;Detergente;5;14.35
